Tiago Moreau - Alexis Dumont
Nolan Leclerc - Léo Pierre
Alexandre Marchand - Mathys Noel
Ayden Bertrand - Noham Schmitt
Mathis Rousseau - Gabriel Leroux
Antoine Leclercq - Wassim Morel
Noam Perrin - Bastien Lecomte
Lorenzo Michel - Enzo Denis
Oscar Lemaire - Théo Durand
Raphaël Lacroix - Nolan Leclerc
Léandre Andre - Mathys Noel
Camille Garnier - Younes Gauthier
Amir David - Alexandre Marchand
Aaron Picard - Gaspard Duval
Younes Gauthier - Nathan Dumas
Marceau Clement - Gabriel Leroux
Kaïs Colin - Camille Garnier
Éden Petit - Noah Rey
Ayden Bertrand - Elyesa Bazna
Sandro Mathieu - Axel Thomas
Samuel Dufour - Ismaël Laurent
Enzo Denis - Évan Gautier
Paul Lefebvre - Louka Morin
Isaac Legrand - Milo Richard
David Caron - Soan Martinez
Maxence Girard - Alexandre Marchand
Ali Aubert - Isaac Legrand
Ludwig Carl Moyzisch - Mathis Rousseau
Valentin Boyer - Théo Durand
Malo Arnaud - Martin Marie
Isaac Legrand - Noah Rey
Côme Gerard - Maël Meunier
Camille Garnier - Oscar Lemaire
Louis Payet - Tiago Moreau
Owen Dubois - Sandro Mathieu
Adem Riviere - Évan Gautier
Louis Payet - David Caron
Hugo Dupont - Mathis Rousseau
Kaïs Colin - Noham Schmitt
Gabriel Leroux - Soan Martinez
Tom Lucas - Gaspard Duval
Louka Morin - Logan Meyer
Liam Brunet - Ayden Bertrand
David Caron - Adrien Bourgeois
Elyesa Bazna - Logan Meyer
Mathis Rousseau - Théo Durand
Antoine Leclercq - Tiago Moreau
Soan Martinez - Kaïs Colin
Mohamed Lefevre - Gaspard Duval
Paul Lefebvre - Tiago Moreau
Clément Blanc - Adem Riviere
Éthan Fournier - Malo Arnaud
Tom Lucas - Elyesa Bazna
Logan Meyer - Robin Robert
Noé Muller - Lorenzo Michel
Mathis Rousseau - Samuel Dufour
Tom Lucas - Ilyes Henry
Alexis Dumont - Naïm Mercier
Bastien Lecomte - Augustin Joly
Noham Schmitt - Robin Robert
Eliott Roy - Louka Morin
Mathys Noel - Noah Rey
Léo Pierre - Noé Muller
Maël Meunier - Amir David
Owen Dubois - Adrien Bourgeois
Noé Muller - Ayden Bertrand
Younes Gauthier - Louis Payet
Benjamin Barbier - William Roger
Maxence Girard - Lucas Bonnet
Wassim Morel - Raphaël Lacroix
Younes Gauthier - Elyesa Bazna
Malo Arnaud - Simon Roussel
Owen Dubois - Naël Garcia
Lenny Masson - Soan Martinez
Younes Gauthier - Eliott Roy
Yanis Renaud - Ismaël Laurent
Jean Nicolas - Clément Blanc
David Caron - Enzo Denis
Timéo Fabre - Nathan Dumas
Alexandre Marchand - Baptiste Blanchard
Lucas Bonnet - Youssef Faure
David Caron - Éden Petit
Alexandre Marchand - Adam Lemoine
Théo Durand - David Caron
David Caron - Nino Simon
Malo Arnaud - Adem Riviere
Owen Dubois - Milo Richard
Ali Aubert - Gabriel Leroux
Owen Dubois - Noé Muller
Mathis Rousseau - Arthur Vidal
Noam Perrin - Ayoub Benoit
Éden Petit - Noé Muller
Naël Garcia - Gabin Roche
Wassim Morel - Mathéo Rolland
Amine Lambert - Raphaël Lacroix
Paul Lefebvre - Victor Fontaine
Maël Meunier - Youssef Faure
Théo Durand - Alexandre Marchand
Jules Leroy - Côme Gerard
Ayden Bertrand - Victor Fontaine
Camille Garnier - William Roger
Maxence Girard - Maxime Olivier
Soan Martinez - Mathys Noel
Esteban Bernard - Raphaël Lacroix
Arthur Vidal - Noah Rey
Sacha Philippe - Nathan Dumas
Sacha Philippe - Mathéo Rolland
William Roger - Noah Rey
William Roger - David Caron
Mathys Noel - Louis Payet
Timéo Fabre - Nino Simon
Léo Pierre - Rayan Chevalier
Logan Meyer - Enzo Denis
Timéo Fabre - Simon Roussel
Antonin Roux - Elyesa Bazna
Eliott Roy - Victor Fontaine
Kylian Vincent - Léo Pierre
Noa Brun - Elyesa Bazna
Alexis Dumont - Victor Fontaine
Maxime Olivier - Kylian Vincent
William Roger - Amir David
Valentin Boyer - Gaspard Duval
Ayden Bertrand - David Caron
Ali Aubert - David Caron
Lenny Masson - Adrien Bourgeois
Côme Gerard - Clément Blanc
Timéo Fabre - Soan Martinez
Esteban Bernard - Marceau Clement
Ali Aubert - Simon Roussel
Marceau Clement - Kaïs Colin
Lorenzo Michel - Théo Durand
Louka Morin - Alexis Dumont
Éden Petit - Adem Riviere
Esteban Bernard - Antonin Roux
Antonin Roux - Nino Simon
Marceau Clement - Raphaël Lacroix
Éden Petit - Wassim Morel
Benjamin Barbier - Ayden Bertrand
Robin Robert - Nathan Dumas
Joseph Giraud - Benjamin Barbier
Mathis Rousseau - Yanis Renaud
Liam Brunet - Clément Blanc
Antoine Leclercq - Évan Gautier
Yanis Renaud - Gabriel Leroux
Léandre Andre - Antoine Leclercq
