1: 2,6,7,8,14,58,29
2: 1,130,3,4,165,171,15,16,85
3: 2,110,111,81,177,84,185
4: 97,2,5,10,12,76,175,111,177,115,56
5: 4,102,71,106,17,18,52,25,190
6: 1,36,42,77,78,23
7: 1,73,68,134
8: 1,34,72,9,11,149,155,125
9: 8,177,20,133,68
10: 32,4,37,172,45,19,85,24,28,61
11: 65,37,133,8,169,13,146,121
12: 138,131,4,31
13: 67,40,11,76,43,84,156
14: 1,163,69,38,63
15: 48,2,90
16: 2,26,131,22,198
17: 185,5
18: 5,171,21,55,27,159
19: 193,10,66
20: 9,59,199
21: 193,18,167
22: 33,134,41,16,53,27
23: 48,105,44,6
24: 65,10,74,44
25: 42,132,5,86,62
26: 16,168,133,30,46
27: 18,91,100,29,22
28: 10,35,36
29: 1,142,50,183,120,27
30: 87,26,47
31: 137,12,44,148,154,62,94
32: 10,142,90,122,188,154
33: 99,22,94
34: 161,98,130,199,8,39,78,53,158
35: 49,43,28,196
36: 6,72,142,111,56,28
37: 197,71,10,11,88,121,90
38: 152,184,77,14
39: 120,34,179,60
40: 65,100,13
41: 75,22
42: 6,137,51,52,25,57,159
43: 35,67,196,166,136,13,144,184,61
44: 24,96,31,54,23
45: 137,10,163,84,118
46: 137,26,130,54
47: 64,94,30,134
48: 96,69,102,200,15,116,23,60
49: 72,35
50: 74,148,29,70,180
51: 176,42,132,85
52: 192,42,5,142,125
53: 34,77,22,121,185,124,93
54: 136,44,46,80,115,57
55: 18
56: 95,4,36,61,77
57: 72,42,157,54
58: 1,75,108
59: 195,20,180
60: 39,104,110,48,89,157
61: 66,169,10,43,73,79,56
62: 31,107,120,25,126,95
63: 143,14,135
64: 95,120,47
65: 24,40,11,117,157
66: 164,79,19,154,155,61,94
67: 89,43,13
68: 192,162,7,9,174,83
69: 48,113,82,176,14
70: 50,123,179
71: 37,187,5,166,111
72: 8,49,57,36,125
73: 96,97,196,7,79,61
74: 24,153,50
75: 176,41,58,103
76: 130,4,13,142
77: 160,38,6,138,180,53,150,56,122
78: 34,100,181,6
79: 66,162,167,73,86,61
80: 161,54
81: 3
82: 200,92,69
83: 112,68,188,109
84: 3,45,174,142,175,13,93
85: 10,51,140,2
86: 129,99,141,79,25,186,154,127
87: 30,119
88: 162,139,155,37,173
89: 67,60
90: 32,197,37,15
91: 128,185,27
92: 82
93: 123,84,109,53,159
94: 31,33,66,47
95: 64,161,56,62
96: 48,73,194,44,101
97: 73,4
98: 145,34,124,119
99: 33,116,86,134
100: 40,27,78
101: 96,189
102: 48,5
103: 75
104: 60,142
105: 23
106: 108,5,181
107: 177,62,150
108: 58,106,140
109: 83,93,125,182
110: 168,176,193,3,60
111: 3,4,36,71
112: 114,83,178,191
113: 197,69,158,189
114: 112,197
115: 187,4,54
116: 48,99,143
117: 65
118: 45
119: 98,87
120: 64,195,39,169,29,62
121: 11,37,53,191
122: 32,128,77
123: 93,70
124: 128,98,53,199
125: 8,72,52,109
126: 194,62
127: 195,140,86,182
128: 122,91,124,148,162
129: 86
130: 34,2,76,178,46
131: 16,12
132: 25,185,51
133: 152,9,26,11
134: 47,99,164,22,7
135: 151,63
136: 175,43,54,167
137: 176,42,45,46,31
138: 169,12,77,174
139: 88
140: 156,85,108,127
141: 170,86
142: 32,36,200,104,76,147,84,52,29
143: 116,63
144: 43
145: 98,175
146: 11,180
147: 177,162,155,142
148: 192,128,50,31
149: 8,175
150: 107,77
151: 172,135
152: 133,38
153: 74
154: 32,66,86,31
155: 88,8,178,147,66
156: 140,13
157: 57,65,60
158: 113,34
159: 42,18,179,93
160: 77
161: 80,34,170,95
162: 88,128,147,68,79
163: 45,14
164: 66,134,198
165: 2
166: 43,71
167: 136,21,79
168: 26,110
169: 120,138,11,61
170: 161,186,141
171: 2,18
172: 184,10,195,151
173: 88
174: 138,68,84
175: 4,136,145,84,181,149,186
176: 69,137,75,110,51,190
177: 9,147,3,107,4
178: 112,130,155,188
179: 159,70,39
180: 146,59,50,77
181: 106,78,175
182: 109,127
183: 29
184: 43,172,38
185: 17,3,132,91,53
186: 170,86,175
187: 115,71
188: 32,178,83,199
189: 113,101
190: 176,5
191: 112,121,199
192: 148,52,68
193: 19,21,110
194: 96,126
195: 120,59,172,198,127
196: 73,35,43
197: 113,114,90,37
198: 16,195,164
199: 34,124,188,20,191
200: 48,82,142
